cpd	value
PS(18:1/18:2)	0.123931276
PS(18:2/0:0)	0.588535707
PS(18:2/18:2)	0.07578625
TG(12:0/18:1/18:1)	0.014017442
TG(12:0/18:1/18:2)	0.004227608
TG(14:0/14:0/20:1)	0.028369765
TG(14:0/18:0/22:0)	0.006528833
TG(14:0/18:1/18:3)	0.03319599
TG(14:0/18:2/18:3)	0.002959078
TG(14:0/22:1/22:1)	0.037292846
TG(14:1/18:1/18:1)	0.158633916
TG(14:1/22:0/22:0)	0.035727343
TG(15:0/16:0/18:1)	0.015623237
TG(15:0/16:0/18:2)	0.010184707
TG(15:0/17:1/19:1)	0.052287168
TG(15:0/18:0/18:1)	0.02427693
TG(15:0/18:1/18:2)	0.060849392
TG(15:0/18:2/18:2)	0.02313085
TG(16:0/16:0/18:0)	0.025948821
TG(16:0/16:0/18:1)	0.14983487
TG(16:0/16:0/18:2)	0.171318815
TG(16:0/18:0/18:0)	0.046245414
TG(16:0/18:0/18:1)	0.241108354
TG(16:0/18:1/18:1)	0.569065343
TG(16:0/18:1/18:2)	0.731596361
TG(16:0/18:1/22:0)	0.025114806
TG(16:0/18:1/22:1)	0.028569843
TG(16:0/18:2/18:2)	0.555004136
TG(16:0/18:2/18:3)	0.201406121
TG(16:1/17:2/18:2)	0.003228379
TG(16:1/20:2/21:0)	0.00205794
TG(16:2/18:2/18:2)	0.02834132
TG(17:0/18:0/18:1)	0.007146476
TG(17:0/18:1/18:1)	0.043780178
TG(17:0/18:1/18:2)	0.068964152
TG(17:0/18:2/18:2)	0.065903476
TG(17:0/18:2/22:0)	0.004327422
TG(17:2/18:1/18:2)	0.035937795
TG(17:2/18:2/18:2)	0.012553624
TG(18:0/18:0/18:1)	0.112013036
TG(18:0/18:1/18:1)	0.382133995
TG(18:0/18:1/18:2)	0.638130687
TG(18:0/18:2/18:2)	0.866004963
TG(18:1/18:1/19:0)	0.002511294
TG(18:1/18:1/19:1)	0.005485146
TG(18:1/18:1/20:1)	0.042205172
TG(18:1/18:1/20:2)	0.030561326
TG(18:1/18:1/22:1)	0.028034944
TG(18:1/18:2/18:2)	1
TG(18:1/18:2/18:3)	0.688585608
TG(18:1/18:2/19:1)	0.006684045
TG(18:1/18:2/22:1)	0.012489557
TG(18:1/18:3/18:3)	0.025593875
TG(18:2/18:2/19:1)	0.003761566
TG(18:2/18:2/20:1)	0.018681629
TG(18:2/18:2/20:2)	0.005269755
C9:0	0.019145776
C14:0	0.014565401
C16:1	0.005735085
C16:0	1
C17:0	0.011264861
C18:2	0.461876485
C18:1	0.374583995
C18:0	0.195320941
C24:0	0.024346861
"Ergosta-7,22-dien-3-ol"	0.559641126
Ergosterol	1
Campesterol	0.157001093
Ergost-7-en-3b-ol	0.002042957
Lanosterol	0.00935122
